skill_num,skill_name,category,batch,priority,status
1,create-agent-skills,ai-agents,1,P0,PENDING
2,create-subagents,ai-agents,1,P0,PENDING
3,create-hooks,ai-agents,1,P0,PENDING
4,create-slash-commands,ai-agents,1,P0,PENDING
5,ai-agents-workflow,ai-agents,1,P0,PENDING
6,create-meta-prompts,ai-agents,1,P1,PENDING
7,mcp-builder,technical,1,P1,PENDING
8,conversation-analyzer,technical,1,P1,PENDING
9,debug-like-expert,technical,1,P0,PENDING
10,staff-engineer-v3,technical,1,P0,PENDING
11,code-auditor,technical,1,P1,PENDING
12,code-review-excellence,technical,1,P1,PENDING
13,project-bootstrapper,operations,1,P1,PENDING
14,skill-developer,technical,1,P0,PENDING
15,skill-reminder,technical,1,P1,PENDING
16,code-refactor,technical,2,P0,PENDING
17,code-transfer,technical,2,P0,PENDING
18,backend-development,technical,2,P0,PENDING
19,frontend-development,technical,2,P0,PENDING
20,api-development,technical,2,P0,PENDING
21,github-actions-templates,technical,2,P0,PENDING
22,github-workflows,technical,2,P0,PENDING
23,gitops-workflow,technical,2,P1,PENDING
24,nodejs-backend-patterns,technical,2,P1,PENDING
25,review-implementing,technical,2,P1,PENDING
26,test-fixing,technical,2,P1,PENDING
27,error-handling-patterns,ai-agents,2,P1,PENDING
28,bash-defensive-patterns,ai-agents,2,P1,PENDING
29,git-advanced-workflows,technical,2,P1,PENDING
30,implementation-planning,technical,2,P0,PENDING
31,api-design-principles,technical,3,P0,PENDING
32,microservices-patterns,technical,3,P0,PENDING
33,database-design,technical,3,P0,PENDING
34,database-migration,technical,3,P1,PENDING
35,postgresql,technical,3,P0,PENDING
36,async-python-patterns,technical,3,P1,PENDING
37,fastapi-templates,technical,3,P1,PENDING
38,auth-implementation-patterns,technical,3,P0,PENDING
39,deployment-pipeline-design,technical,3,P0,PENDING
40,devops-practices,technical,3,P0,PENDING
41,cloud-architecture,technical,3,P0,PENDING
42,container-orchestration,technical,3,P1,PENDING
43,terraform-iac-deployment,technical,3,P1,PENDING
44,helm-chart-scaffolding,technical,3,P1,PENDING
45,hybrid-cloud-networking,technical,3,P1,PENDING
46,architecture-patterns,ai-agents,4,P0,PENDING
47,design-system-builder,technical,4,P0,PENDING
48,distributed-tracing,technical,4,P1,PENDING
49,performance-optimization,technical,4,P0,PENDING
50,gitlab-ci-patterns,technical,4,P1,PENDING
51,multi-cloud-architecture,technical,4,P1,PENDING
52,security-compliance,strategy,4,P0,PENDING
53,data-modeling,technical,4,P0,PENDING
54,data-warehousing,technical,4,P1,PENDING
55,etl-pipelines,technical,4,P1,PENDING
56,analytics-engineering,technical,4,P1,PENDING
57,data-quality,technical,4,P1,PENDING
58,disaster-recovery,technical,4,P1,PENDING
59,incident-response,technical,4,P0,PENDING
60,debugging-strategies,ai-agents,5,P1,PENDING
61,code-review,technical,5,P0,PENDING
62,testing-strategies,technical,5,P0,PENDING
63,e2e-testing-patterns,technical,5,P1,PENDING
64,defense-in-depth,ai-agents,5,P0,PENDING
65,compliance-automation,ai-agents,5,P1,PENDING
66,error-tracking,technical,5,P1,PENDING
67,penetration-testing,technical,5,P1,PENDING
68,collision-zone-thinking,ai-agents,5,P1,PENDING
69,workflow-orchestration-patterns,operations,5,P0,PENDING
