source,destination,type,status,risk
Claude/,platforms/claude/,platform-dir,completed,medium
Claude/ClaudeSkills/,platforms/claude/claude-skills/,subdir-rename,completed,medium
Claude/ClaudeSkills-CLI/,platforms/claude/claude-skills-cli/,subdir-rename,completed,medium
Claude/ClaudeSkills-Desktop/,platforms/claude/claude-skills-desktop/,subdir-rename,completed,medium
Claude/ClaudeSkills-Web/,platforms/claude/claude-skills-web/,subdir-rename,completed,medium
Codex/,platforms/codex/,platform-dir,completed,medium
Codex/CodexSkills/,platforms/codex/codex-skills/,subdir-rename,completed,medium
Codex/CodexSkills-CLI/,platforms/codex/codex-skills-cli/,subdir-rename,completed,medium
Gemini/,platforms/gemini/,platform-dir,completed,medium
Gemini/GeminiSkills/,platforms/gemini/gemini-skills/,subdir-rename,completed,medium
Gemini/GeminiSkills-CLI/,platforms/gemini/gemini-skills-cli/,subdir-rename,completed,medium
Gemini/GeminiSkills-Studio/,platforms/gemini/gemini-skills-studio/,subdir-rename,completed,medium
Gemini/GeminiSkills-Agents/,platforms/gemini/gemini-skills-agents/,subdir-rename,completed,medium
GithubCopilot/,platforms/github-copilot/,platform-dir,completed,medium
GithubCopilot/CopilotSkills/,platforms/github-copilot/copilot-skills/,subdir-rename,completed,medium
GithubCopilot/CopilotSkills-CLI/,platforms/github-copilot/copilot-skills-cli/,subdir-rename,completed,medium
GithubCopilot/CopilotSkills-Frontier/,platforms/github-copilot/copilot-skills-frontier/,subdir-rename,completed,medium
UniversalAdapters/,adapters/universal/,supporting,completed,low
GitHubRepoAgents/,agents/github-repo/,supporting,completed,low
populate_all.py,scripts/populate-all.py,script,completed,high
sync-skills.py,scripts/sync-skills.py,script,completed,high
convert_to_gems.py,scripts/convert-to-gems.py,script,completed,high
convert_to_codex_responses.py,scripts/convert-to-codex-responses.py,script,completed,high
convert-to-copilot.js,scripts/convert-to-copilot.js,script,completed,high
convert_to_copilot.py,scripts/convert-to-copilot.py,script,completed,high
convert_to_cli_skills.py,scripts/convert-to-cli-skills.py,script,completed,high
fix_skills_unified.py,scripts/fix-skills-unified.py,script,completed,high
fix_claude_desktop.py,scripts/fix-claude-desktop.py,script,completed,high
compare_claude_desktop_structures.py,scripts/compare-claude-desktop-structures.py,script,completed,high
verify_claude_desktop_structure.py,scripts/verify-claude-desktop-structure.py,script,completed,high
regenerate_gemini_studio.js,scripts/regenerate-gemini-studio.js,script,completed,high
run_convert.bat,scripts/run-convert.bat,script,completed,low
INDEX.md,docs/planning/index.md,doc,completed,low
MASTER_INDEX.md,docs/planning/master-index.md,doc,completed,low
MASTER_ENHANCEMENT_PLAN.md,docs/planning/master-enhancement-plan.md,doc,completed,low
PHASE_A1_RUNBOOK.md,docs/planning/phase-a1-runbook.md,doc,completed,low
PHASE_A2_RUNBOOK.md,docs/planning/phase-a2-runbook.md,doc,completed,low
PHASE_A3_RUNBOOK.md,docs/planning/phase-a3-runbook.md,doc,completed,low
DEPLOYMENT_CHECKLIST.md,docs/planning/deployment-checklist.md,doc,completed,low
POPULATE_ALL_CHANGES.md,docs/planning/populate-all-changes.md,doc,completed,low
INT_Inc_Skills_Plugin_LAE_Plan.md,docs/planning/int-inc-skills-plugin-lae-plan.md,doc,completed,low
TIER1_SKILL_DEFINITIONS.md,docs/planning/tier1-skill-definitions.md,doc,completed,low
CLAUDE_DESKTOP_FIX.md,docs/claude-desktop-fix.md,doc,completed,low
README_CLAUDE_DESKTOP_FIX.md,docs/readme-claude-desktop-fix.md,doc,completed,low
concept-descriptions.json,data/concept-descriptions.json,data,completed,low
ENHANCEMENT_STATUS.json,data/enhancement-status.json,data,completed,low
tier-1-skills-candidates.csv,data/tier-1-skills-candidates.csv,data,completed,low
tier-1-enhancement-template.md,data/tier-1-enhancement-template.md,data,completed,low
